level,key,tmc_bias_mean,tmc_residual_std,tmc_count,ftr_bias_mean,ftr_residual_std,ftr_count,ot_bias_mean,ot_residual_std,ot_count
agent,11932200015,138.49837468116795,570.7039209749752,1095,-0.17203147125570742,0.36553554618959105,1095,-0.15095153830214042,0.41799421513741164,1095
agent,11933210014,112.05764267006208,722.2215236953489,1588,-0.15474325035621297,0.3772702998396166,1588,-0.20429687921068648,0.4174788969285331,1588
agent,11939730128,104.44786473071481,572.9814962907168,2540,-0.17274229043112027,0.35797051955901177,2540,-0.18107843378638505,0.40706958826918105,2540
agent,11939830008,123.20956099898727,471.57747535709217,1350,-0.13880331646513056,0.39206665842353167,1350,-0.15487275267502776,0.42367535648200294,1350
agent,11941240153,97.62020796679137,482.3225708010991,3196,-0.07893842551041307,0.4252302330436666,3196,-0.1570224237306427,0.39618462521185616,3196
agent,11942180012,70.46102891620836,405.7398521765267,3800,-0.13055437952280044,0.3968645653115299,3800,-0.16350100279185234,0.40544812330561925,3800
agent,12827770096,147.47335278779897,556.7035427400996,2178,-0.16995949828372953,0.36237344253811593,2178,-0.14731882528743567,0.3957369890830618,2178
agent,12857120011,161.1397058806626,485.63822871713086,2124,-0.16354739859616016,0.36995297003749233,2124,-0.09513005309507142,0.3716091250280453,2124
agent,12936270022,146.45142703445106,536.5645427108878,2404,-0.15682947102580808,0.3712630023627462,2404,-0.11284778086314003,0.3713730022375986,2404
agent,13022900010,971.6986083984375,526.4932861328125,2,0.16786044836044312,0.47670257091522217,2,-0.032556881196796894,0.012703432701528072,2
agent,13022910008,142.36209168467764,635.6820313460336,2411,-0.13774944131723432,0.3905656363130198,2411,-0.11189871084218136,0.397630318762451,2411
agent,13034930010,122.93880361540813,509.25514436377244,2709,-0.14659964724764607,0.3837970552850152,2709,-0.08383653402916713,0.38830860037298764,2709
agent,13036370015,219.72133587208808,605.6233701822705,2803,-0.16011617394630032,0.3654331445503072,2803,-0.13568933340752398,0.40593209547060893,2803
agent,13057910014,186.84841944637566,586.5774107666938,3801,-0.16136474511837276,0.3660470508484428,3801,-0.12130724655986676,0.3757763097821539,3801
agent,13058300008,112.77781434442005,467.3747507092936,2055,-0.14607594909459135,0.3824970061212012,2055,-0.11263507420566486,0.4015805536174967,2055
agent,13071500018,138.92166077929264,498.51010027097016,4136,-0.12889188540310417,0.3959936047093423,4136,-0.16178527736495477,0.4172967450401821,4136
agent,13172700006,177.7513759863003,551.2973718342868,351,-0.16375813202300982,0.35373341788501933,351,-0.11381502252833604,0.38826251857877386,351
